gauge_type,chain_id,lp_token,salt,manager,predicted_address,old_gauge,name,vote_args,old_gauge_admin,kill_args
4,100,0x1337BedC9D22ecbe766dF105c9623922A27963EC,0x7dce21b9d45a00397050a2dc4febffefeb66e48ed662b6bec61255a38f8287bf,0xbabe61887f1de2713c6f97e567623453d3C79f67,0xB721Cc32160Ab0da2614CC6aB16eD822Aeebc101,0x6C09F6727113543Fd061a721da512B7eFCDD0267,x3pool,"('0x2F50D538606Fa9EDD2B11E2446BEb18C9D5846bB', 'add_gauge', '0xB721Cc32160Ab0da2614CC6aB16eD822Aeebc101 ', 4, 0),",0xEdf2C58E16Cc606Da1977e79E1e69e79C54fe242,"('0x519AFB566c05E00cfB9af73496D00217A630e4D5', 'set_killed', '0x6C09F6727113543Fd061a721da512B7eFCDD0267', True),"
1,250,0x27E611FD27b276ACbd5Ffd632E5eAEBEC9761E40,0xe399d302647baccf627ff4aef2bb977c0ae61b062fe7633315d11ea6e91208f2,0xbabe61887f1de2713c6f97e567623453d3C79f67,0x15bB164F9827De760174d3d3dAD6816eF50dE13c,0xb9C05B8EE41FDCbd9956114B3aF15834FDEDCb54,2pool,"('0x2F50D538606Fa9EDD2B11E2446BEb18C9D5846bB', 'add_gauge', '0x15bB164F9827De760174d3d3dAD6816eF50dE13c', 1, 0),",0x7EeAC6CDdbd1D0B8aF061742D41877D7F707289a,"('0x519AFB566c05E00cfB9af73496D00217A630e4D5', 'set_killed', '0xb9C05B8EE41FDCbd9956114B3aF15834FDEDCb54', True),"
1,250,0xD02a30d33153877BC20e5721ee53DeDEE0422B2F,0x9e827a57e1179746a5dce8e25e920a9aff8ba8c26abc36d7bdb5f9684c69bc44,0xbabe61887f1de2713c6f97e567623453d3C79f67,0xF7b9c402c4D6c2eDbA04a7a515b53D11B1E9b2cc,0xfE1A3dD8b169fB5BF0D5dbFe813d956F39fF6310,g3CRV,"('0x2F50D538606Fa9EDD2B11E2446BEb18C9D5846bB', 'add_gauge', '0xF7b9c402c4D6c2eDbA04a7a515b53D11B1E9b2cc', 1, 0),",0x7EeAC6CDdbd1D0B8aF061742D41877D7F707289a,"('0x519AFB566c05E00cfB9af73496D00217A630e4D5', 'set_killed', '0xfE1A3dD8b169fB5BF0D5dbFe813d956F39fF6310', True),"
1,250,0x5B5CFE992AdAC0C9D48E05854B2d91C73a003858,0x0e43fa6aa3c7389d1e559a3bf2a363dd09e89e76b317a6be59a5200de54afd34,0xbabe61887f1de2713c6f97e567623453d3C79f67,0xbC38bD19227F91424eD4132F630f51C9A42Fa338,0xfDb129ea4b6f557b07BcDCedE54F665b7b6Bc281,btcCRV,"('0x2F50D538606Fa9EDD2B11E2446BEb18C9D5846bB', 'add_gauge', '0xbC38bD19227F91424eD4132F630f51C9A42Fa338', 1, 0),",0x7EeAC6CDdbd1D0B8aF061742D41877D7F707289a,"('0x519AFB566c05E00cfB9af73496D00217A630e4D5', 'set_killed', '0xfDb129ea4b6f557b07BcDCedE54F665b7b6Bc281', True),"
1,250,0x58e57cA18B7A47112b877E31929798Cd3D703b0f,0xf37e6656c2fa157d4c6e16662ab32781cc6fb12739569b696835547f1e553745,0xbabe61887f1de2713c6f97e567623453d3C79f67,0x319E268f0A4C85D404734ee7958857F5891506d7,0x260e4fBb13DD91e187AE992c3435D0cf97172316,crv3crypto,"('0x2F50D538606Fa9EDD2B11E2446BEb18C9D5846bB', 'add_gauge', '0x319E268f0A4C85D404734ee7958857F5891506d7', 1, 0),",0x0000C13F1D4a5832120a895d7484660d31fB784F,"('0x519AFB566c05E00cfB9af73496D00217A630e4D5', 'set_killed', '0x260e4fBb13DD91e187AE992c3435D0cf97172316', True),"
2,137,0xE7a24EF0C5e95Ffb0f6684b813A78F2a3AD7D171,0x680474a4936454fa9837466d1febb292749521510d11d3452fec4ec1847f77cf,0xbabe61887f1de2713c6f97e567623453d3C79f67,0x20759F567BB3EcDB55c817c9a1d13076aB215EdC,0xC48f4653dd6a9509De44c92beb0604BEA3AEe714,am3pool,"('0x2F50D538606Fa9EDD2B11E2446BEb18C9D5846bB', 'add_gauge', '0x20759F567BB3EcDB55c817c9a1d13076aB215EdC', 2, 0),",0x7EeAC6CDdbd1D0B8aF061742D41877D7F707289a,"('0x519AFB566c05E00cfB9af73496D00217A630e4D5', 'set_killed', '0xC48f4653dd6a9509De44c92beb0604BEA3AEe714', True),"
2,137,0xdAD97F7713Ae9437fa9249920eC8507e5FbB23d3,0x183380e4fd413e000fb8612ba4517e19562d5a3c6421ef6280686be79e273bc9,0xbabe61887f1de2713c6f97e567623453d3C79f67,0xBb1B19495B8FE7C402427479B9aC14886cbbaaeE,0x060e386eCfBacf42Aa72171Af9EFe17b3993fC4F,a3crypto,"('0x2F50D538606Fa9EDD2B11E2446BEb18C9D5846bB', 'add_gauge', '0xBb1B19495B8FE7C402427479B9aC14886cbbaaeE', 2, 0),",0x7EeAC6CDdbd1D0B8aF061742D41877D7F707289a,"('0x519AFB566c05E00cfB9af73496D00217A630e4D5', 'set_killed', '0x060e386eCfBacf42Aa72171Af9EFe17b3993fC4F', True),"
2,137,0xf8a57c1d3b9629b77b6726a042ca48990A84Fb49,0x72d45276ca2911643633ece1fb15e0c3f3b7673c7c9d17eb7e426e2129a75621,0xbabe61887f1de2713c6f97e567623453d3C79f67,0x8D9649e50A0d1da8E939f800fB926cdE8f18B47D,0x488E6ef919C2bB9de535C634a80afb0114DA8F62,btcCRV,"('0x2F50D538606Fa9EDD2B11E2446BEb18C9D5846bB', 'add_gauge', '0x8D9649e50A0d1da8E939f800fB926cdE8f18B47D', 2, 0),",0x7EeAC6CDdbd1D0B8aF061742D41877D7F707289a,"('0x519AFB566c05E00cfB9af73496D00217A630e4D5', 'set_killed', '0x488E6ef919C2bB9de535C634a80afb0114DA8F62', True),"
2,137,0x600743B1d8A96438bD46836fD34977a00293f6Aa,0xd1400e2b95541e698fe81f8614e3b62570a71ab0b71781a0ac448e2fa9dc6406,0xbabe61887f1de2713c6f97e567623453d3C79f67,0x8b397084699Cc64E429F610F81Fac13bf061ef55,0xAF78381216a8eCC7Ad5957f3cD12a431500E0B0D,crvEURTUSD,"('0x2F50D538606Fa9EDD2B11E2446BEb18C9D5846bB', 'add_gauge', '0x8b397084699Cc64E429F610F81Fac13bf061ef55', 2, 0),",0x7EeAC6CDdbd1D0B8aF061742D41877D7F707289a,"('0x519AFB566c05E00cfB9af73496D00217A630e4D5', 'set_killed', '0xAF78381216a8eCC7Ad5957f3cD12a431500E0B0D', True),"
7,42161,0x7f90122BF0700F9E7e1F688fe926940E8839F353,0x2d02f7b63c127447ac73a1f2decf61ff725b077b87c35006546944d5495b70e2,0xbabe61887f1de2713c6f97e567623453d3C79f67,0xCE5F24B7A95e9cBa7df4B54E911B4A3Dc8CDAf6f,0xFf17560d746F85674FE7629cE986E949602EF948,2pool,"('0x2F50D538606Fa9EDD2B11E2446BEb18C9D5846bB', 'add_gauge', '0xCE5F24B7A95e9cBa7df4B54E911B4A3Dc8CDAf6f', 7, 0),",0x7EeAC6CDdbd1D0B8aF061742D41877D7F707289a,"('0x519AFB566c05E00cfB9af73496D00217A630e4D5', 'set_killed', '0xFf17560d746F85674FE7629cE986E949602EF948', True),"
